category,foodCode,foodName,englishName,edible,water,energyKCal,energyKJ,protein,fat,CHO,dietaryFiber,cholesterol,ash,vitaminA,carotene,retinol,thiamin,riboflavin,niacin,vitaminC,vitaminETotal,vitaminE1,vitaminE2,vitaminE3,Ca,P,K,Na,Mg,Fe,Zn,Se,Cu,Mn,remark
乳类及其制品-其他,109001,炼乳（甜，罐头）,Condensed milk，pasteurized，sweetened，canned,100,26.2,332,1400,8.0,8.7,55.4,0.0,36,1.7,41,—,41,0.03,0.16,0.30,2.0,0.28,0.28,—,—,242,200,309,211.9,24,0.4,1.53,3.26,0.04,0.04,
乳类及其制品-其他,109002,奶皮子,Milk skin，fresh,100,36.9,460,1902,12.2,42.9,6.3,0.0,78,1.7,—,—,—,0.02,0.23,0.20,—,—,—,—,—,818,308,4,2.3,28,1.3,2.22,4.60,0.10,0.02,内蒙古
乳类及其制品-其他,109003,奶片,Milk tablet，sugar added,100,3.7,472,1982,13.3,20.2,59.3,0.0,65,3.5,75,—,75,0.05,0.20,1.60,5.0,0.05,—,—,—,269,427,356,179.7,32,1.6,3.00,12.10,0.06,—,武汉
乳类及其制品-其他,109004,全脂甜炼乳（雀巢）,,100,15.9,380,1601,7.5,10.0,64.9,0.0,7,1.7,—,—,105,0.07,0.41,0.21,Tr,0.30,0.30,Tr,Tr,334,243,308,88.6,21,0.2,1.04,18.74,0.12,0.06,山东
乳类及其制品-其他,109005,全脂甜炼乳（燕山牌）,,100,17.1,374,1577,8.2,10.0,62.8,0.0,3,1.9,—,—,68,0.08,0.32,0.22,Tr,Tr,Tr,Tr,Tr,317,246,428,103.9,23,0.2,1.15,7.89,0.03,0.05,北京
乳类及其制品-其他,109006,脱脂甜炼乳,,100,29.0,275,1169,10.3,0.2,58.0,0.0,—,2.5,0,0,0,0.10,0.50,0.20,2.0,—,—,—,—,330,300,520,180.0,—,0.3,—,—,—,—,
乳类及其制品-其他,109007,蛋白粉（益力健乳铁乳清蛋白粉）,,100,—,425,1789,50.0,12.5,28.0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,129.0,—,—,—,—,—,—,新西兰
乳类及其制品-其他,109008,牛初乳奶片（纽瑞滋牛初乳咀嚼奶片）,,100,—,347,1467,27.0,4.5,49.5,—,—,—,255,60,—,0.06,—,—,2.8,—,—,—,—,2126,—,450,111.0,50,0.3,3.90,—,—,—,新西兰
乳类及其制品-其他,109009,奶渣,,100,5.5,381,1612,44.4,4.2,41.3,0.0,42,4.6,29,—,2.9,0.05,0.19,—,Tr,0.21,0.10,0.07,0.04,874,910,523,161.0,78,3.1,7.22,1.40,0.03,0.98,西藏
乳类及其制品-奶油,105001,奶油,Cream,100,0.7,879,3616,0.7,97.0,0.9,0.0,209,0.7,297,Tr,297,Tr,0.01,0.00,Tr,1.99,1.17,—,—,14,11,226,268.0,2,1.0,0.09,0.70,0.42,Tr,青海
乳类及其制品-奶油,105002,奶油（焦克）,Cream,100,48.1,447,1838,3.0,48.3,0.0,0.0,92,0.6,—,—,—,0.05,0.16,0.20,—,—,—,—,—,202,82,138,41.1,10,1.0,0.32,5.50,0.02,0.10,内蒙古
乳类及其制品-奶油,105003,奶油（食品工业）,"Cream, for food industry use",100,43.4,504,2072,1.1,55.5,0.0,0.0,103,0.3,345,—,345,0.01,0.16,0.10,—,2.19,1.74,—,—,20,32,1064,190.8,2,0.1,1.10,0.94,0.03,0.83,上海
乳类及其制品-奶油,105004,黄油,Butter,100,0.5,888,3650,1.4,98.0,0.0,0.0,296,0.1,—,—,—,—,0.02,—,—,—,—,—,—,35,8,39,40.3,7,0.8,0.11,1.60,0.01,0.05,内蒙古
乳类及其制品-奶油,105005,黄油渣,"Butter residue, milk solids",100,4.7,599,2489,11.1,43.8,40.0,0.0,150,0.4,—,—,—,0.03,0.47,0.40,—,—,—,—,—,597,288,160,60.2,97,2.6,1.17,1.10,0.11,1.18,内蒙古
乳类及其制品-奶油,105006,白脱（食品工业）［牛油、黄油］,"Butter, for food industry use",100,17.7,744,3113,—,82.7,0.0,0.0,152,0.1,534,—,534,0.01,0.06,0.10,—,3.71,3.62,—,—,1,14,43,18.0,2,1.0,0.80,0.56,0.02,0.02,上海
乳类及其制品-奶油,105007,酥油,Shortening,100,2.5,860,3537,1.5,94.4,1.1,0.0,227,0.5,426,Tr,426,Tr,0.01,—,Tr,2.45,1.53,—,—,128,9,188,73.0,2,0.4,0.12,0.70,0.18,Tr,青海
乳类及其制品-奶油,105008,奶油,,100,11.0,785,3230,1.1,86.0,1.7,0.0,155,0.2,840,—,840,0.02,0.02,Tr,Tr,2.23,2.23,Tr,Tr,2,—,31,1.7,0,0.1,—,1.00,Tr,0.01,上海
乳类及其制品-奶油,105009,酥油,,100,14.0,718,2958,0.7,74.9,10.3,0.0,193,0.1,384,—,384,0.01,0.07,1.03,Tr,1.88,1.73,0.10,0.05,26,20,29,26.0,3,1.8,0.24,0.69,0.01,0.03,西藏
乳类及其制品-奶油,105010,酥油茶（原味）,,100,3.7,465,1952,3.0,17.7,73.3,0.0,3,2.3,Tr,—,Tr,Tr,0.14,2.24,Tr,5.13,1.09,3.42,0.62,27,304,620,265.0,13,2.2,0.83,0.69,0.01,0.03,西藏
乳类及其制品-奶粉,102101,全脂奶粉（多维奶粉）,Whole milk powder，fortified with vitamin,100,2.8,484,2027,19.9,22.7,49.9,—,68,4.7,77,—,77,0.28,6.68,0.50,9.0,0.48,0.48,—,—,1797,324,1910,567.8,22,1.4,3.71,16.80,0.11,0.02,
乳类及其制品-奶粉,102101x,全脂奶粉（代表值）,,100,2.6,482,2020,19.9,22.3,50.5,—,79,4.7,380,—,163,0.13,1.90,0.50,23.6,0.48,0.48,—,—,928,513,777,352.0,65,4.6,3.93,12.09,0.13,0.04,
乳类及其制品-奶粉,102103,全脂奶粉,Whole milk powder,100,2.3,478,2005,20.1,21.2,51.7,—,110,4.7,141,—,141,0.11,0.73,0.90,4.0,0.48,0.48,—,—,676,469,449,260.1,79,1.2,3.14,11.80,0.09,0.09,
乳类及其制品-奶粉,102104,全脂奶粉（速溶）,Whole milk powder，instant,100,2.3,466,1956,19.9,18.9,54.0,—,71,4.9,272,—,272,0.08,0.80,0.50,7.0,1.29,—,—,—,659,571,541,247.6,73,2.9,2.16,7.98,0.12,0.05,
乳类及其制品-奶粉,102105,全脂奶粉（雀巢）,,100,—,504,2107,24.0,28.0,39.0,—,—,5.8,630,—,—,—,1.10,—,—,—,—,—,—,930,720,—,—,—,—,—,—,—,—,
乳类及其制品-奶粉,102107,全脂奶粉（伊利牌）,,100,3.0,504,2110,22.0,26.0,45.5,—,65,3.5,525,—,—,0.04,0.17,0.09,—,—,—,—,—,750,550,209,220.6,91,3.9,3.97,11.78,0.20,0.01,
乳类及其制品-奶粉,102125,全脂奶粉（红星速溶加锌奶粉）,,100,—,478,2004,18.5,20.8,54.1,—,—,—,380,—,—,—,—,—,—,—,—,—,—,680,—,—,500.0,—,7.5,4.75,—,—,—,天津
乳类及其制品-奶粉,102126,全脂奶粉（欧世蒙牛多维高钙高铁奶粉）,,100,—,473,1981,18.2,21.7,51.1,—,—,—,627,—,—,—,—,—,50.0,—,—,—,—,864,446,—,280.0,60,7.2,4.08,—,—,—,内蒙古
乳类及其制品-奶粉,102127,全脂奶粉（雪花钙加锌调制奶粉）,,100,—,461,1936,17.0,19.0,55.5,—,—,—,350,—,—,—,—,—,—,—,—,—,—,1000,—,—,350.0,—,—,5.00,—,—,—,
乳类及其制品-奶粉,102128,全脂奶粉（雪花高钙多维调制奶粉）,,100,—,484,2030,19.5,22.0,52.0,—,—,—,420,—,—,—,—,—,48.0,—,—,—,—,1000,—,—,390.0,—,7.8,4.60,—,—,—,
乳类及其制品-奶粉,102130x,全脂甜奶粉（代表值）,,100,2.2,485,2034,20.2,22.9,49.6,—,28,4.8,381,—,183,0.56,0.26,0.40,—,0.27,0.27,—,—,558,739,1318,353.0,79,2.5,2.47,6.82,0.13,0.07,
乳类及其制品-奶粉,102131,全脂甜奶粉,,100,1.2,490,2054,22.5,23.4,47.4,—,—,5.5,183,—,183,0.42,0.26,0.40,Tr,0.27,0.27,Tr,Tr,495,1018,841,450.8,81,0.7,2.30,7.45,0.07,0.08,青海
乳类及其制品-奶粉,102132,全脂甜奶粉（伊利牌）,,100,3.2,476,1998,19.0,21.0,52.8,—,28,4.0,579,—,—,0.70,—,—,—,—,—,—,—,620,460,1795,184.1,76,4.3,2.63,6.19,0.19,0.05,
乳类及其制品-奶粉,102133,全脂甜奶粉（飞鹤全脂甜乳粉）,,100,—,479,2007,20.0,23.0,48.0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,500.0,—,—,—,—,—,—,黑龙江
乳类及其制品-奶粉,102134,全脂甜奶粉（红星速溶全脂甜奶粉）,,100,—,481,2016,18.5,23.0,50.0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,380.0,—,—,—,—,—,—,天津
乳类及其制品-奶粉,102135,全脂甜奶粉（三元燕山牌全脂甜奶粉）,,100,—,500,2095,21.0,24.0,50.0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,250.0,—,—,—,—,—,—,
乳类及其制品-奶粉,102150x,低脂奶粉（代表值，高钙高铁）,,100,3.6,425,1793,23.7,11.9,55.9,—,49,5.0,625,—,—,0.55,1.33,—,55.0,10.00,—,—,—,1365,918,1154,378.5,62,10.3,6.00,8.36,0.20,0.13,
乳类及其制品-奶粉,102151,低脂奶粉（高钙高铁，雀巢）,,100,—,413,1742,27.0,11.7,50.0,—,—,—,570,—,—,—,1.40,—,60.0,—,—,—,—,1745,1325,1325,—,100,10.0,7.00,—,—,—,
乳类及其制品-奶粉,102152,低脂奶粉（高钙高铁，伊利牌）,,100,3.1,423,1782,27.0,11.0,53.9,—,49,5.0,675,—,—,0.30,1.60,—,65.0,—,—,—,—,1350,950,1338,406.9,35,12.0,5.00,8.36,0.20,0.13,
乳类及其制品-奶粉,102153,低脂奶粉（高钙高铁，可淇牌）,,100,4.0,437,1841,17.0,13.0,63.0,—,—,—,630,—,—,0.80,1.00,—,40.0,10.00,—,—,—,1000,480,800,350.0,50,9.0,6.00,—,—,—,
乳类及其制品-奶粉,102201,全脂奶粉（全脂羊乳粉）,Goat whole milk powder,100,1.4,498,2085,18.8,25.2,49.0,—,75,5.6,—,—,—,0.06,1.60,0.90,—,0.20,0.07,0.06,0.07,—,—,—,—,—,—,—,—,—,—,陕西
乳类及其制品-奶粉,102211,驴奶粉（花麒牌，西域龙驴奶粉）,,100,1.0,442,1861,20.1,12.4,62.4,—,17,4.1,59,—,59,0.11,0.83,—,—,0.63,0.63,—,—,775,454,857,333.0,55,0.2,1.10,—,0.12,0.07,新疆
乳类及其制品-奶粉,102212,驴奶粉（金驴龙奶）,,100,2.8,416,1759,14.8,8.2,70.8,—,5,3.4,13,—,13,0.10,0.83,—,—,0.00,Tr,—,—,720,337,638,292.0,57,0.5,1.27,—,0.14,0.34,新疆
乳类及其制品-奶粉,102213,驴奶粉（源西域牌，冻干特质）,,100,2.2,428,1803,19.3,12.3,60.0,—,39,6.2,596,—,596,0.08,1.07,—,—,0.28,0.28,—,—,740,449,783,409.0,114,0.7,0.87,—,0.19,0.07,新疆
乳类及其制品-奶粉,102221,驼奶粉（花麒牌，西域龙驼奶粉）,,100,2.0,528,2206,20.2,30.4,43.4,—,83,4.0,221,—,221,0.07,0.28,—,—,0.91,0.91,—,—,606,328,749,519.0,50,0.7,2.95,—,0.13,0.08,新疆
乳类及其制品-奶粉,102222,驼奶粉（天山牧歌牌）,,100,2.0,513,2143,16.7,28.6,47.1,—,47,5.6,246,—,246,0.04,0.02,—,—,Tr,Tr,—,—,732,463,1392,439.0,52,0.8,3.02,—,0.13,0.05,新疆
乳类及其制品-奶粉,102223,驼奶粉（旺源牌，全脂驼乳粉）,,100,1.9,545,2271,21.3,34.6,37.0,—,66,5.2,307,—,307,0.02,0.09,—,—,0.39,0.39,—,—,798,519,971,507.0,53,0.6,2.96,—,0.12,0.07,新疆
乳类及其制品-奶粉,102301x,儿童配方奶粉（代表值）,,100,3.8,454,1907,19.0,17.3,56.1,1.1,—,—,453,82,—,0.52,0.81,3.75,38.6,10.00,—,—,—,705,493,797,317.3,50,6.8,5.75,7.80,0.35,0.47,
乳类及其制品-奶粉,102302,儿童配方奶粉（安儿健A+，美赞臣）,,100,—,428,1803,17.9,11.1,64.0,—,—,—,594,—,—,0.40,0.98,5.20,51.0,—,—,—,—,730,450,730,210.0,55,8.1,4.40,—,0.35,0.04,
乳类及其制品-奶粉,102303,儿童配方奶粉（适体健，美赞臣）,,100,—,417,1761,16.0,9.0,68.0,—,—,—,361,170,—,0.50,0.50,6.60,38.0,—,—,—,—,500,500,1150,250.0,60,6.3,4.40,10.00,0.36,1.25,
乳类及其制品-奶粉,102304,儿童配方奶粉（惠氏）,,100,—,451,1898,17.0,15.0,62.0,—,—,—,479,95,—,0.41,0.72,4.10,45.0,—,—,—,—,495,450,721,248.0,59,5.6,5.40,—,0.20,—,
乳类及其制品-奶粉,102305,儿童配方奶粉（可淇牌）,,100,4.0,457,1921,17.0,17.0,59.0,—,—,—,412,100,—,0.60,0.60,3.50,40.0,10.00,—,—,—,850,425,—,—,40,9.0,6.00,—,—,—,
乳类及其制品-奶粉,102306,儿童配方奶粉（完达山牌）,,100,—,458,1924,17.0,18.0,57.0,—,—,—,540,—,—,0.40,0.80,3.60,40.0,—,—,—,—,800,550,800,300.0,78,8.0,6.00,—,0.34,0.03,
乳类及其制品-奶粉,102307,儿童配方奶粉（贝因美特选幼童配方奶粉4阶段）,,100,—,473,1984,18.0,19.5,56.6,0.6,—,—,244,75,—,0.29,—,2.90,17.5,—,—,—,—,500,—,—,330.0,38,4.5,6.30,—,—,—,湖北
乳类及其制品-奶粉,102308,儿童配方奶粉（多美滋优阶儿童配方奶粉）,,100,—,406,1713,19.6,10.0,59.4,—,—,—,432,—,—,0.50,0.61,4.69,53.0,—,—,—,—,835,521,828,230.0,61,10.0,6.00,—,0.47,—,上海
乳类及其制品-奶粉,102309,儿童配方奶粉（惠氏金装学儿乐学龄前儿童配方奶粉）,,100,—,442,1855,17.0,16.0,58.9,3.0,—,—,251,—,—,0.33,0.54,3.06,15.3,—,—,—,—,450,405,901,234.0,53,5.0,5.41,3.10,0.37,0.71,江苏
乳类及其制品-奶粉,102310,儿童配方奶粉（美素佳儿GOLD金装儿童配方奶粉）,,100,—,452,1901,25.8,17.0,49.0,—,—,—,395,—,—,0.34,0.71,2.50,37.0,—,—,—,—,815,645,1030,255.0,72,8.6,6.90,10.00,0.53,—,荷兰
乳类及其制品-奶粉,102311,儿童配方奶粉（美赞臣安儿健儿童配方奶粉）,,100,—,434,1828,20.0,12.0,63.0,3.0,—,—,260,—,—,0.27,1.25,3.30,33.0,—,—,—,—,750,480,930,250.0,56,5.5,5.50,—,0.19,—,广东
乳类及其制品-奶粉,102312,儿童配方奶粉（明治珍爱童儿童配方奶粉）,,100,—,465,1953,20.0,19.0,53.7,0.3,—,—,1596,50,—,0.40,1.60,6.00,65.0,—,—,—,—,800,530,970,270.0,80,8.0,4.00,—,0.32,0.09,澳大利亚
乳类及其制品-奶粉,102313,儿童配方奶粉（欧世蒙牛金装佳智学龄前儿童特殊配方奶粉4阶段）,,100,—,470,1970,17.9,20.9,52.5,—,—,—,334,—,—,0.32,0.80,—,32.4,—,—,—,—,536,400,680,250.0,54,5.6,5.80,—,0.46,—,内蒙古
乳类及其制品-奶粉,102314,儿童配方奶粉（雀巢能恩全进口奶源儿童配方奶粉4）,,100,—,455,1910,22.0,19.0,49.0,—,—,—,350,—,—,0.32,0.40,2.30,32.4,—,—,—,—,950,600,1050,350.0,40,5.6,8.00,—,—,—,黑龙江
乳类及其制品-奶粉,102315,儿童配方奶粉（三元爱益儿童成长配方奶粉）,,100,—,500,2100,20.0,20.0,60.0,—,—,—,480,—,—,1.00,0.70,—,50.0,—,—,—,—,1000,500,400,600.0,25,8.0,4.00,—,—,—,
乳类及其制品-奶粉,102316,儿童配方奶粉（完达山4段儿童奶粉）,,100,—,462,1941,17.1,19.2,55.7,0.8,—,—,390,—,—,0.70,0.87,3.45,36.3,—,—,—,—,480,400,425,348.0,—,4.9,6.75,7.50,—,—,黑龙江
乳类及其制品-奶粉,102317,儿童配方奶粉（完达山金装元乳4段儿童奶粉）,,100,—,466,1954,17.5,19.8,54.8,0.9,—,—,420,—,—,0.85,0.93,3.45,44.7,—,—,—,—,600,450,525,348.0,—,6.1,8.25,8.40,—,—,黑龙江
乳类及其制品-奶粉,102318,儿童配方奶粉（雪花学生特殊配方奶粉）,,100,—,461,1936,17.5,19.0,55.0,—,—,—,397,36,—,—,—,—,48.0,—,—,—,—,900,—,—,350.0,—,6.8,4.00,—,—,—,
乳类及其制品-奶粉,102319,儿童配方奶粉（雪花学生营养奶粉）,,100,—,463,1942,17.8,19.5,54.0,—,—,—,496,49,—,—,—,—,55.0,—,—,—,—,1000,—,—,350.0,40,7.0,7.00,—,—,—,
乳类及其制品-奶粉,102320,儿童配方奶粉（雅培金装喜康宝儿童配方奶粉）,,100,—,444,1867,17.5,15.9,58.1,0.7,—,—,450,—,—,0.75,1.50,2.16,65.0,—,—,—,—,640,515,850,220.0,56,6.0,4.56,—,0.24,0.70,广东
乳类及其制品-奶粉,102321,儿童配方奶粉（雅士利儿童奶粉）,,100,—,460,1934,21.6,18.0,53.0,—,—,—,380,—,—,0.19,0.40,—,—,—,—,—,—,600,438,750,280.0,28,3.2,2.00,—,—,—,广东
乳类及其制品-奶粉,102322,儿童配方奶粉（伊利儿童配方奶粉）,,100,—,465,1952,21.0,20.0,50.6,0.6,—,—,350,—,—,0.75,0.70,—,20.0,—,—,—,—,700,500,800,375.0,35,7.5,6.70,—,—,—,天津
乳类及其制品-奶粉,102323,儿童配方奶粉（伊利金领冠儿童配方奶粉）,,100,4.0,467,1960,21.5,20.0,50.6,0.6,—,—,410,—,—,0.75,0.80,3.50,20.0,—,—,—,—,700,550,800,375.0,38,8.1,7.10,—,—,—,天津
乳类及其制品-奶粉,102324,儿童配方奶粉（伊利金装儿童配方奶粉）,,100,4.0,467,1960,21.5,20.0,50.6,0.6,—,—,410,—,—,0.75,0.75,3.50,20.0,—,—,—,—,700,550,800,375.0,38,8.1,7.10,—,—,—,天津
乳类及其制品-奶粉,102325,儿童配方奶粉（伊利学生营养奶粉）,,100,3.0,464,1947,18.0,20.0,53.0,—,—,—,435,—,—,—,0.75,—,30.0,—,—,—,—,600,—,—,500.0,—,7.5,6.50,—,—,—,天津
乳类及其制品-奶粉,102501x,孕产妇配方奶粉（代表值）,,100,3.0,413,1740,22.0,9.8,60.5,2.9,—,—,524,84,—,0.88,1.15,6.66,95.6,—,—,—,—,903,541,899,334.5,88,13.1,7.59,8.00,0.96,1.05,
乳类及其制品-奶粉,102502,孕产妇配方奶粉（惠氏）,,100,—,405,1714,16.0,6.8,70.0,—,—,—,603,85,—,0.65,0.81,7.70,102.0,—,—,—,—,407,386,772,346.0,130,8.1,5.30,—,0.49,0.81,
乳类及其制品-奶粉,102503,孕产妇配方奶粉（美赞臣）,,100,—,378,1601,23.3,3.9,62.4,—,—,—,960,—,—,0.67,0.80,8.00,24.0,—,—,—,—,1700,650,1000,360.0,75,7.1,15.00,—,—,—,
乳类及其制品-奶粉,102504,孕产妇配方奶粉（贝因美冠军宝贝孕妈咪配方奶粉）,,100,3.0,425,1789,22.5,12.0,59.0,4.5,—,—,367,100,—,0.38,—,5.30,125.0,—,—,—,—,600,—,—,375.0,71,11.0,5.00,—,—,—,浙江
乳类及其制品-奶粉,102505,孕产妇配方奶粉（贝因美金装爱+孕妈咪配方奶粉）,,100,—,434,1830,22.5,12.0,59.0,—,—,—,367,100,—,0.38,—,5.30,125.0,—,—,—,—,600,—,—,375.0,71,11.0,5.00,—,—,—,湖北
乳类及其制品-奶粉,102506,孕产妇配方奶粉（贝因美金装爱+准妈咪配方奶粉）,,100,—,426,1798,22.5,10.0,61.5,—,—,—,367,100,—,0.63,—,—,37.5,—,—,—,—,600,—,—,—,—,8.0,4.00,—,—,—,浙江
乳类及其制品-奶粉,102507,孕产妇配方奶粉（多美滋优阶妈妈孕产妇配方奶粉）,,100,—,360,1522,20.5,2.5,67.4,7.2,—,—,760,—,—,1.60,2.30,6.70,110.0,—,—,—,—,1200,580,960,225.0,125,26.0,15.00,—,1.50,—,上海
乳类及其制品-奶粉,102508,孕产妇配方奶粉（飞帆孕产妇配方乳粉）,,100,—,460,1934,18.0,17.5,57.7,—,—,—,480,—,—,0.78,0.80,—,110.0,—,—,—,—,600,—,400,—,32,12.5,8.00,—,—,—,黑龙江
乳类及其制品-奶粉,102509,孕产妇配方奶粉（合生元金装妈妈配方奶粉）,,100,—,380,1611,27.0,2.8,62.7,2.0,—,—,480,—,—,1.30,1.60,9.50,130.0,—,—,—,—,1400,—,1200,380.0,120,12.0,10.00,—,1.20,1.30,法国
乳类及其制品-奶粉,102510,孕产妇配方奶粉（亨氏超金妈妈孕产妇配方奶粉）,,100,—,398,1680,26.0,8.0,57.0,3.0,—,—,477,35,—,1.00,1.50,8.00,100.0,—,—,—,—,1000,790,1300,300.0,120,12.0,6.50,—,—,—,英国
乳类及其制品-奶粉,102511,孕产妇配方奶粉（惠氏爱儿乐妈妈孕产妇配方奶粉）,,100,—,406,1717,19.0,6.9,67.0,—,—,—,338,—,—,0.65,0.81,7.70,102.0,—,—,—,—,407,386,813,346.0,48,11.0,5.30,—,1.30,1.50,新加坡
乳类及其制品-奶粉,102512,孕产妇配方奶粉（美素佳儿GOLD金装妈妈孕产妇配方奶粉）,,100,—,454,1907,27.0,17.5,47.1,—,—,—,800,—,—,1.05,1.53,6.10,120.0,—,—,—,—,870,680,920,240.0,160,23.0,3.00,12.00,0.05,1.48,荷兰
乳类及其制品-奶粉,102513,孕产妇配方奶粉（美赞臣安婴妈妈孕产妇配方奶粉）,,100,—,383,1621,24.0,4.3,62.0,—,—,—,350,—,—,0.60,0.98,6.00,48.0,—,—,—,—,730,500,1120,380.0,160,15.0,5.80,—,—,—,广东
乳类及其制品-奶粉,102514,孕产妇配方奶粉（雀巢妈妈孕产妇奶粉）,,100,—,407,1720,20.0,6.5,67.0,—,—,—,480,—,—,0.80,0.80,—,100.0,—,—,—,—,1250,540,875,270.0,62,12.5,8.80,6.00,—,—,黑龙江
乳类及其制品-奶粉,102515,孕产妇配方奶粉（雀巢妈妈孕产妇营养配方奶粉）,,100,—,402,1701,20.0,6.0,67.0,—,—,—,480,—,—,0.80,0.80,—,100.0,—,—,—,—,1250,540,875,185.0,62,12.5,8.80,6.00,—,—,黑龙江
乳类及其制品-奶粉,102516,孕产妇配方奶粉（三元爱力优妈妈配方奶粉）,,100,—,438,1842,22.5,13.8,56.3,0.9,—,—,601,—,—,1.00,0.80,5.60,100.0,—,—,—,—,1000,350,500,600.0,38,7.5,7.50,—,—,0.03,
乳类及其制品-奶粉,102517,孕产妇配方奶粉（圣元优博妈咪孕产妇配方奶粉）,,100,—,440,1850,22.0,16.0,52.0,—,—,—,500,—,—,1.00,1.00,8.00,100.0,—,—,—,—,1200,400,—,—,40,12.0,8.00,—,1.00,—,山东
乳类及其制品-奶粉,102518,孕产妇配方奶粉（完达山妈咪配方奶粉）,,100,—,455,1910,22.5,17.5,52.4,1.2,—,—,600,—,—,1.25,0.76,—,—,—,—,—,—,1000,470,—,—,—,15.0,8.50,—,—,—,黑龙江
乳类及其制品-奶粉,102519,孕产妇配方奶粉（雅培妈妈喜康素金装孕产妇配方奶粉）,,100,—,367,1555,23.1,2.0,66.0,3.7,—,—,300,—,—,1.30,2.30,5.40,62.0,—,—,—,—,850,590,1100,300.0,210,16.2,11.20,—,1.20,1.20,广东
乳类及其制品-奶粉,102520,孕产妇配方奶粉（雅士利能慧金装孕产妇奶粉）,,100,—,425,1789,20.6,12.5,59.0,3.0,—,—,500,—,—,0.38,0.75,—,—,—,—,—,—,800,600,750,300.0,62,6.3,3.75,—,—,—,广东
乳类及其制品-奶粉,102521,孕产妇配方奶粉（伊利金领冠妈妈配方奶粉）,,100,—,456,1919,22.0,14.0,60.9,0.9,—,—,600,—,—,1.20,1.20,5.30,120.0,—,—,—,—,750,600,—,—,40,18.0,7.50,—,—,—,天津
乳类及其制品-奶粉,102522,孕产妇配方奶粉（伊利孕妇奶粉）,,100,—,441,1856,22.0,14.0,56.7,—,—,—,600,—,—,1.00,1.20,5.30,100.0,—,—,—,—,750,600,—,370.0,40,18.0,7.50,—,—,—,天津
乳类及其制品-奶粉,102523,孕产妇配方羊奶粉（美可高特孕产妇配方羊奶粉）,,100,2.6,447,1881,22.0,15.5,54.9,—,—,—,518,—,—,1.03,1.18,4.20,80.0,—,—,—,—,1200,—,—,482.0,—,9.4,4.94,14.60,—,—,天津
乳类及其制品-奶粉,102801x,中老年配方奶粉（代表值）,,100,3.5,424,1785,21.8,12.8,55.7,0.9,—,6.2,491,63,—,0.59,1.01,16.60,55.5,11.25,—,—,—,1137,630,895,427.5,58,7.7,4.75,19.00,—,0.03,
乳类及其制品-奶粉,102802,中老年配方奶粉（可淇牌）,,100,4.0,432,1821,18.0,12.0,63.0,—,—,—,540,—,—,0.55,1.00,—,40.0,12.00,—,—,—,1000,500,—,—,—,9.0,6.00,21.00,—,—,
乳类及其制品-奶粉,102803,中老年配方奶粉（雀巢）,,100,—,429,1804,30.0,14.4,44.8,—,—,7.3,390,—,—,0.23,1.40,—,—,10.50,—,—,—,1740,890,1390,410.0,100,—,—,—,—,—,
乳类及其制品-奶粉,102804,中老年配方奶粉（森永牌）,,100,3.0,418,1764,22.0,10.0,60.0,—,—,5.0,592,100,—,1.00,1.00,16.60,60.0,—,—,—,—,800,630,—,—,75,7.0,4.00,—,—,—,
乳类及其制品-奶粉,102805,中老年配方奶粉（三元爱益中老年配方奶粉）,,100,—,448,1886,20.0,13.0,63.0,0.7,—,—,458,—,—,—,0.63,—,—,—,—,—,—,1200,500,400,600.0,25,—,—,—,—,0.03,
乳类及其制品-奶粉,102806,中老年配方奶粉（雪花中老年特殊配方奶粉）,,100,—,432,1820,20.0,13.6,58.0,1.0,—,—,457,38,—,—,—,—,60.0,—,—,—,—,1000,—,—,350.0,45,7.2,4.20,16.00,—,—,
乳类及其制品-奶粉,102807,中老年营养奶粉（雪花中老年营养奶粉）,,100,—,440,1852,21.0,14.0,58.0,1.0,—,—,496,50,—,—,—,—,62.0,—,—,—,—,1080,—,—,350.0,45,7.5,4.80,20.00,—,—,
乳类及其制品-奶酪,104001,奶酪［干酪］,Cheese， white， semisoft,100,43.5,328,1366,25.7,23.5,3.5,—,11,3.8,152,—,152,0.06,0.91,0.60,—,0.60,0.60,—,—,799,326,75,584.6,57,2.4,6.97,1.50,0.13,0.16,
乳类及其制品-奶酪,104002,奶豆腐（脱脂）,Milk curd， skimmed,100,14.7,343,1456,53.7,2.5,26.5,—,36,2.6,—,—,—,0.03,0.27,0.40,1.0,—,—,—,—,360,773,188,55.4,25,12.4,1.81,7.20,0.21,0.17,内蒙古
乳类及其制品-奶酪,104003,奶豆腐（鲜）,Milk curd， fresh,100,31.9,305,1287,46.2,7.8,12.5,—,36,1.6,—,—,—,0.01,0.69,0.70,—,—,—,—,—,597,657,240,90.2,17,3.1,2.48,11.60,0.34,0.09,内蒙古
乳类及其制品-奶酪,104004,奶疙瘩［奶酪干，干酸奶］,Cheese， milk lump， sour， dried,100,8.9,426,1793,55.1,15.0,17.7,—,51,3.3,—,—,—,0.05,0.24,0.80,2.0,—,—,—,—,730,689,314,79.3,49,18.7,5.24,14.68,2.23,0.22,
