category,foodCode,foodName,englishName,edible,water,energyKCal,energyKJ,protein,fat,CHO,dietaryFiber,cholesterol,ash,vitaminA,carotene,retinol,thiamin,riboflavin,niacin,vitaminC,vitaminETotal,vitaminE1,vitaminE2,vitaminE3,Ca,P,K,Na,Mg,Fe,Zn,Se,Cu,Mn,remark
蔬菜类及其制品-嫩茎叶花菜类,045323,荠菜（鲜）［蓟菜，菱角菜］,Shepherd's purse,88,90.6,31,128,2.9,0.4,4.7,1.7,0,1.4,216,2590,0,0.04,0.15,0.60,43.0,1.01,0.36,0.49,0.16,294,81,280,31.6,37,5.4,0.68,0.51,0.29,0.65,
蔬菜类及其制品-嫩茎叶花菜类,045324,莴笋（鲜）［莴苣］,Lettuce stem,62,95.5,15,62,1.0,0.1,2.8,0.6,0,0.6,13,150,0,0.02,0.02,0.50,4.0,0.19,0.08,0.08,0.03,23,48,212,36.5,19,0.9,0.33,0.54,0.07,0.19,
蔬菜类及其制品-嫩茎叶花菜类,045327,番杏［新西兰菠菜、夏菠菜］,"Common tetragonia, raw",100,94.0,15,64,1.8,0.1,3.1,—,0,1.2,52,628,0,0.03,0.09,0.23,Tr,0.23,0.23,Tr,Tr,136,25,107,445.2,38,0.8,0.36,0.32,0.04,0.76,
蔬菜类及其制品-嫩茎叶花菜类,045328,樱桃萝卜缨,"Cherry radish leaf and stem, raw",100,94.0,14,59,2.0,0.1,2.7,2.3,0,1.2,120,1440,0,0.04,0.09,0.26,14.0,1.40,1.40,Tr,Tr,56,50,126,111.3,45,3.9,0.40,0.58,0.03,0.51,北京
蔬菜类及其制品-嫩茎叶花菜类,045329,白凤菜,"Green Gynura, raw",100,93.4,16,66,1.6,0.2,4.0,—,0,1.0,89,1066,0,0.03,0.06,0.77,6.0,0.12,0.12,Tr,Tr,41,29,192,152.0,63,1.8,0.23,0.77,0.09,0.70,北京
蔬菜类及其制品-嫩茎叶花菜类,045330,紫背天葵［红风菜、血皮菜］,"Gynura, raw",100,93.1,18,73,1.9,—,3.8,—,0,1.2,154,1847,0,0.05,0.08,0.27,3.0,0.20,0.10,0.10,Tr,69,31,367,19.3,72,0.8,0.37,0.92,0.09,0.80,北京
蔬菜类及其制品-嫩茎叶花菜类,045331,芹菜（茎）［旱芹，药芹］,"Chinese celery stem, raw",100,95.4,13,55,0.4,0.2,3.1,1.0,0,0.9,2,18,0,0.01,0.02,0.22,2.0,Tr,Tr,Tr,Tr,15,13,128,166.4,16,0.2,0.14,0.07,0.03,0.04,
蔬菜类及其制品-嫩茎叶花菜类,045332,西芹［西洋芹菜，美芹］,"Celery stem, raw",85,93.6,17,72,0.6,0.1,4.8,2.2,0,0.9,2,29,0,0.01,0.03,0.22,4.0,Tr,Tr,Tr,Tr,36,35,15,313.3,15,0.2,0.10,0.10,0.02,0.06,
蔬菜类及其制品-嫩茎叶花菜类,045333,生菜［叶用莴苣］,"Endive lettuce, curl leafed, raw",94,96.7,12,51,1.6,0.4,1.1,—,0,0.2,2,26,0,0.02,0.01,—,Tr,Tr,Tr,Tr,Tr,14,12,91,16.1,7,0.2,0.12,0.04,0.01,0.06,
蔬菜类及其制品-嫩茎叶花菜类,045334,油麦菜,"Romaine lettuce, raw",81,95.9,12,50,1.1,0.4,2.1,—,0,0.5,63,751,0,0.03,0.07,0.56,2.0,0.45,0.45,Tr,Tr,60,26,164,32.0,23,0.5,0.24,0.16,0.02,0.06,
蔬菜类及其制品-嫩茎叶花菜类,045335,叶甜菜（白梗）,"Beta cicla, raw",100,94.2,13,53,1.6,0.1,2.8,2.2,0,1.3,—,—,0,0.01,0.08,0.23,7.4,0.34,0.34,Tr,Tr,48,26,24,356.5,48,0.6,0.22,0.30,0.06,0.15,北京
蔬菜类及其制品-嫩茎叶花菜类,045336,莴笋叶［莴苣菜］,"Lettuce, leaf, raw",100,95.0,15,62,1.0,0.2,2.9,—,0,0.9,2,24,0,0.03,Tr,—,Tr,Tr,Tr,Tr,Tr,9,37,305,35.6,19,0.2,0.19,0.21,0.05,0.03,
蔬菜类及其制品-嫩茎叶花菜类,045337,蕹菜［空心菜、藤藤菜］,"Water spinach, raw",100,92.3,19,77,2.2,0.2,4.0,—,0,1.3,143,1714,0,0.03,0.05,0.22,5.0,0.10,0.10,Tr,Tr,115,37,304,107.6,46,1.0,0.27,—,0.05,0.52,
蔬菜类及其制品-嫩茎叶花菜类,045338,观达菜［根达菜、牛皮菜］,"Swiss chard, leaf and stem, raw",100,91.8,23,95,1.9,0.3,4.5,2.8,0,1.5,39,470,0,0.01,0.24,—,6.4,0.50,—,—,—,76,17,290,220.0,64,1.3,0.18,1.40,0.02,0.48,北京
蔬菜类及其制品-嫩茎叶花菜类,045339,球茎茴香［甜茴香、意大利茴香］,"Anise, raw",70,93.2,17,71,1.2,Tr,4.7,2.2,0,0.9,1,6,0,0.03,0.06,0.22,3.3,Tr,Tr,Tr,Tr,76,35,24,90.5,23,0.4,0.18,Tr,0.09,0.12,北京
蔬菜类及其制品-嫩茎叶花菜类,045401,竹笋（鲜）,"Bamboo shoot, whole",63,92.8,23,96,2.6,0.2,3.6,1.8,0,0.8,—,—,0,0.08,0.08,0.60,5.0,0.05,0.03,0.02,Tr,9,64,389,0.4,1,0.5,0.33,0.04,0.09,1.14,上海
蔬菜类及其制品-嫩茎叶花菜类,045402,白笋（干）,"bamboo shoot , dried",64,10.0,282,1180,26.0,4.0,57.1,43.2,0,2.9,1,10,0,—,0.32,0.20,Tr,—,—,—,—,31,222,1754,0.7,22,4.2,3.30,2.34,1.94,2.20,福建
蔬菜类及其制品-嫩茎叶花菜类,045403,鞭笋（鲜）［马鞭笋］,Summer bamboo shoot,45,90.1,24,100,2.6,Tr,6.7,6.6,0,0.6,—,—,0,0.05,0.09,0.50,7.0,—,—,—,—,17,49,379,4.6,13,2.5,0.64,0.44,0.08,0.69,杭州
蔬菜类及其制品-嫩茎叶花菜类,045404,春笋（鲜）,Spring bamboo shoot,66,91.4,25,106,2.4,0.1,5.1,2.8,0,1.0,3,30,0,0.05,0.04,0.40,5.0,—,—,—,—,8,36,300,6.0,8,2.4,0.43,0.66,0.15,0.78,
蔬菜类及其制品-嫩茎叶花菜类,045405,冬笋（鲜）,Winter bamboo shoot,39,88.1,42,174,4.1,0.1,6.5,0.8,0,1.2,7,80,0,0.08,0.08,0.60,1.0,—,—,—,—,22,56,—,—,—,0.1,—,—,—,—,北京
